
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Gi1/0/1, Gi1/0/2, Gi1/0/5, Gi1/0/6, Gi1/0/8, Gi1/0/9, Gi1/0/10, Gi1/0/11, Gi1/0/12, Gi1/0/13, Gi1/0/14, Gi1/0/15, Gi1/0/16, Gi1/0/17, Gi1/0/18, Gi1/0/19, Gi1/0/20, Gi1/0/21, Gi1/0/22, Gi1/0/23, Gi1/0/24, Gi1/0/25, Gi1/0/26, Gi1/0/27, Gi1/0/28
2    145series1NW                     active    
10   ssh                              active    Gi1/0/3, Gi1/0/4, Gi1/0/7
20   SERVERS                          active    
28   CiscoAP                          active    
103  103series                        active    
106  106seriesNW1                     active    
111  test                             active    
124  124                              active    
125  125                              active    
126  126                              active    
127  VLAN127                          active    
128  VLAN0128                         active    
145  VLAN0145                         active    
1002 fddi-default                     act/unsup 
1003 token-ring-default               act/unsup 
1004 fddinet-default                  act/unsup 
1005 trnet-default                    act/unsup 
